Python,Java,C++,JavaScript,C#,PHP,Software_Development_Experience,Database_Management,Networking_Skills,Web_Development_Experience,Communication_Skills,Problem_Solving_Abilities,Teamwork_Collaboration,Time_Management,Adaptability,GPA,Personal_Interests,Internship_Experience,Leadership_Experience,Career_Goals
9,4,2,9,3,6,3,8,9,2,2,0,1,0,9,2.146982715,Sports,Yes,No,Network Engineer
8,0,8,0,5,6,8,9,6,8,3,1,9,9,8,2.146982715,Sports,Yes,No,UI/UX Designer
8,4,8,3,2,2,6,6,3,1,6,1,8,9,9,4.356164715,Music,Yes,Yes,Front End Developer
8,6,9,4,0,7,3,7,0,5,2,1,9,7,9,2.973938266,Reading,Yes,No,Computer and Information Research Scientist
8,1,9,6,7,2,8,4,9,5,5,7,1,8,8,3.974984822,Music,No,Yes,Computer Systems Analyst
0,7,6,2,6,1,8,5,8,0,2,1,7,7,2,3.974984822,Music,Yes,No,IT Support Specialist
5,4,9,8,2,6,2,3,8,2,3,6,3,8,4,4.356164715,Reading,Yes,No,Computer Science Teacher
1,2,0,5,2,9,7,2,1,7,7,2,3,2,4,2.146982715,Sports,Yes,Yes,Machine Learning Engineer
8,7,9,1,1,3,2,7,3,7,7,2,4,2,8,4.356164715,Gaming,No,Yes,Network Administrator
8,0,9,4,8,5,6,4,6,7,8,2,8,1,4,2.973938266,CodingOthers,Yes,No,Software Engineer
6,5,0,6,8,3,0,6,8,0,7,4,5,9,6,2.973938266,Music,Yes,No,DevOps Engineer
9,1,6,6,6,3,1,1,0,4,7,3,3,3,6,2.973938266,Music,Yes,Yes,Computer Science Teacher
3,5,9,2,4,7,9,9,1,6,4,6,2,9,5,4.356164715,Gaming,No,Yes,Research Scientist
2,6,3,6,5,9,3,0,9,6,3,9,3,2,7,3.974984822,Reading,No,Yes,Database Administrator
4,0,1,7,9,8,4,8,4,6,7,6,8,9,7,3.974984822,CodingOthers,Yes,No,IT Consultant
3,4,7,1,1,1,8,0,6,6,8,7,1,1,1,2.973938266,Traveling,Yes,No,Business Intelligence Analyst
8,1,7,3,8,3,3,8,1,1,7,1,3,0,1,3.974984822,Music,Yes,No,IT Project Manager
0,2,6,5,0,7,0,2,7,1,4,7,9,2,8,4.356164715,Reading,No,No,Software Tester
9,1,7,7,5,8,1,7,5,8,3,8,6,9,7,3.974984822,CodingOthers,Yes,Yes,Blockchain Developer
3,7,7,2,4,3,4,8,2,9,4,7,7,6,1,2.146982715,Sports,Yes,No,IT Consultant
9,1,2,7,5,5,5,0,7,3,5,7,4,7,9,4.356164715,Sports,No,Yes,Systems Analyst
5,2,8,1,6,1,4,2,4,8,3,3,7,7,3,2.973938266,CodingOthers,No,No,Software Tester
4,9,7,1,0,6,9,5,2,3,4,7,2,9,3,2.973938266,Music,No,No,Computer Programmer
9,5,0,6,2,2,3,1,8,5,9,8,1,3,6,2.146982715,Sports,No,Yes,Machine Learning Engineer
9,3,5,0,9,5,6,3,6,6,9,1,2,7,7,4.356164715,Reading,Yes,Yes,Cybersecurity Analyst
1,3,6,9,4,7,7,3,9,6,1,3,8,1,4,3.974984822,Reading,No,No,Network Administrator
7,9,6,1,5,2,5,0,5,1,7,0,0,7,8,4.356164715,Sports,No,Yes,Business Intelligence Analyst
8,2,7,1,1,9,1,5,4,6,9,7,5,3,3,3.974984822,CodingOthers,No,Yes,Network Engineer
1,9,8,3,2,3,0,2,9,0,2,2,4,9,0,2.146982715,Gaming,No,Yes,Software Engineer
3,7,4,5,6,1,1,2,5,4,3,9,4,7,6,3.974984822,Music,No,No,Computer Science Teacher
8,2,4,7,9,9,9,8,3,0,5,2,5,1,0,2.973938266,Traveling,Yes,No,Computer Network Architect
8,8,7,2,9,6,2,9,7,4,6,3,1,6,3,4.356164715,Traveling,No,No,IT Sales Professional
0,4,3,7,1,8,7,9,5,3,3,1,7,3,4,2.146982715,Sports,Yes,No,Software Developer
7,6,6,9,0,1,7,8,5,7,8,0,3,3,6,3.974984822,Music,Yes,No,Software Tester
7,7,3,6,0,2,6,3,3,1,4,1,4,8,5,3.974984822,Gaming,Yes,No,Technical Support Engineer
7,6,3,3,8,6,0,9,5,0,2,0,2,4,8,4.356164715,Gaming,Yes,Yes,Software Engineer
2,9,9,6,5,0,6,5,9,7,7,4,4,6,7,4.356164715,Gaming,No,No,Digital Marketing Specialist
5,4,8,3,5,3,2,8,3,6,0,2,1,2,7,3.974984822,Traveling,Yes,Yes,Embedded Systems Engineer
2,6,5,7,3,4,8,8,7,5,5,2,6,4,9,3.974984822,Reading,Yes,Yes,Back End Developer
2,1,7,5,2,7,1,2,6,2,4,7,0,3,7,3.974984822,Reading,No,Yes,Web Developer
7,2,0,5,5,4,4,6,3,2,1,8,1,7,5,2.146982715,Reading,No,No,IT Sales Professional
5,7,6,8,5,6,5,4,0,0,3,1,9,7,3,3.974984822,Music,Yes,Yes,Database Administrator
1,2,7,4,8,6,9,1,5,6,7,3,6,9,7,3.974984822,CodingOthers,No,No,Research Scientist
1,5,5,0,3,2,8,9,2,5,0,1,8,6,5,3.974984822,Reading,Yes,No,Computer and Information Systems Manager
4,5,5,3,9,8,9,2,5,1,6,5,2,7,4,4.356164715,CodingOthers,No,Yes,Technical Writer
0,4,3,4,4,6,4,2,7,6,6,9,1,4,6,3.974984822,Reading,No,No,Research Scientist
4,9,3,4,3,8,9,3,9,5,3,6,4,1,8,2.973938266,CodingOthers,No,Yes,Cloud Architect
8,3,1,9,5,5,5,8,6,8,8,7,3,9,3,2.146982715,Music,No,No,Artificial Intelligence Engineer
9,5,4,3,3,9,9,3,7,1,9,5,1,1,8,4.356164715,Gaming,Yes,No,Game Developer
5,2,6,3,2,8,9,6,8,8,9,2,6,9,8,2.146982715,Gaming,Yes,Yes,Computer Network Architect
4,1,6,1,7,3,0,3,7,0,7,3,5,2,2,3.974984822,CodingOthers,Yes,Yes,Web Developer
4,2,3,5,4,8,1,4,4,5,2,0,3,1,9,2.973938266,CodingOthers,No,No,Mobile App Developer
1,3,4,4,0,3,0,5,1,8,8,6,4,2,6,2.146982715,Music,Yes,Yes,IT Support Specialist
7,9,1,9,2,9,8,7,5,6,5,1,9,5,8,2.973938266,Reading,Yes,No,UI/UX Designer
6,0,2,8,5,0,6,1,8,1,0,8,8,5,0,2.973938266,Traveling,No,No,Machine Learning Engineer
8,3,3,2,3,1,9,9,2,3,3,7,2,9,1,4.356164715,Traveling,No,Yes,Computer Network Architect
8,2,9,0,6,8,4,0,9,6,5,9,1,9,9,3.974984822,Sports,No,No,Research Scientist
0,3,6,3,8,2,2,4,1,5,3,3,8,5,6,3.974984822,Sports,No,No,Back End Developer
7,9,8,2,2,8,2,8,8,0,8,3,0,7,2,4.356164715,Music,No,No,Computer Network Architect
9,0,6,3,1,4,6,3,1,6,4,2,0,2,5,2.973938266,Gaming,Yes,No,Research Scientist
2,0,9,9,2,8,7,6,5,4,9,0,9,3,9,2.146982715,CodingOthers,No,Yes,Computer and Information Systems Manager
1,5,1,2,8,8,8,2,6,5,9,6,4,1,7,4.356164715,Reading,No,Yes,Database Administrator
6,8,3,8,6,0,2,8,4,1,3,7,8,2,9,2.146982715,Traveling,Yes,Yes,IT Consultant
6,8,0,9,8,6,5,4,4,9,7,6,1,3,8,2.146982715,Music,No,No,IT Support Specialist
0,7,0,3,6,3,4,4,9,6,4,3,4,4,7,2.973938266,Music,No,Yes,Back End Developer
9,4,5,2,8,2,9,6,8,3,4,5,2,2,1,2.973938266,CodingOthers,Yes,Yes,IT Sales Professional
7,4,4,4,7,7,7,2,3,4,5,8,4,6,2,2.973938266,Reading,No,No,IT Consultant
7,7,5,0,0,7,1,0,4,7,3,6,8,6,4,3.974984822,Sports,No,Yes,Business Intelligence Analyst
3,4,4,8,7,8,9,4,5,9,5,2,3,2,1,2.973938266,Traveling,Yes,Yes,Front End Developer
3,3,8,5,6,9,0,1,4,3,5,8,5,1,4,4.356164715,CodingOthers,Yes,No,DevOps Engineer
7,1,7,0,7,2,0,4,3,6,1,1,6,5,0,2.973938266,Gaming,Yes,Yes,Technical Support Engineer
3,6,1,5,4,9,7,2,8,5,4,3,5,4,6,2.146982715,Gaming,Yes,No,DevOps Engineer
3,8,5,2,0,2,8,4,9,7,0,1,4,2,9,2.146982715,Music,Yes,No,Research Scientist
5,5,1,9,5,7,1,3,9,0,3,6,3,6,8,2.146982715,Reading,Yes,No,Research Scientist
9,0,4,2,0,3,1,9,2,4,4,3,7,6,3,4.356164715,Traveling,Yes,Yes,Computer and Information Research Scientist
6,4,0,3,3,5,2,3,7,0,0,4,2,1,5,2.973938266,Traveling,Yes,No,Embedded Systems Engineer
8,4,3,0,6,7,1,7,1,6,3,8,0,0,8,4.356164715,Sports,No,No,Computer Programmer
8,1,3,3,9,0,7,8,0,0,3,3,5,3,2,2.146982715,Traveling,No,Yes,UI/UX Designer
3,9,6,3,6,8,4,5,4,8,9,1,6,0,2,3.974984822,Traveling,No,Yes,Computer Science Teacher
5,3,9,1,8,6,9,1,7,3,3,7,2,0,7,4.356164715,Music,Yes,No,Computer Science Teacher
7,3,5,1,8,3,3,0,1,1,5,1,0,1,9,3.974984822,Sports,Yes,No,Cloud Architect
7,4,7,8,5,8,2,9,7,3,6,5,5,5,2,2.973938266,Reading,Yes,No,Computer Systems Manager
2,3,3,2,2,4,3,8,7,6,7,7,6,9,3,4.356164715,Traveling,No,Yes,IT Project Manager
1,4,5,9,0,9,0,4,6,3,6,5,0,8,8,2.973938266,CodingOthers,Yes,No,IT Consultant
8,3,6,2,3,0,3,2,7,7,8,3,1,5,3,4.356164715,Gaming,No,Yes,Computer Network Architect
2,0,6,4,8,3,6,5,2,0,8,8,4,0,9,4.356164715,Sports,Yes,Yes,Computer Systems Analyst
3,1,8,4,3,3,2,0,0,8,8,6,9,1,3,2.146982715,Reading,Yes,Yes,Network Engineer
2,3,5,3,5,4,1,5,1,1,4,5,1,5,8,2.973938266,CodingOthers,No,Yes,Database Administrator
6,4,4,8,7,1,9,1,4,2,8,9,2,0,8,4.356164715,Sports,Yes,No,Cloud Architect
5,8,5,1,6,5,6,5,6,0,7,6,5,9,9,2.973938266,CodingOthers,No,Yes,IT Project Manager
9,4,3,2,7,2,4,6,8,5,2,5,6,7,3,3.974984822,Music,No,Yes,Data Scientist
8,5,1,7,8,6,5,3,3,0,4,7,6,7,3,2.146982715,Traveling,No,Yes,Computer and Information Research Scientist
9,9,6,0,1,1,7,3,5,6,0,2,6,4,2,4.356164715,Reading,Yes,Yes,Research Scientist
9,3,7,8,9,7,8,9,7,2,3,9,2,2,9,3.974984822,CodingOthers,No,No,Cybersecurity Analyst
3,9,6,8,4,7,9,6,8,3,0,4,5,4,1,4.356164715,CodingOthers,No,No,Technical Writer
6,8,1,1,5,3,1,1,2,2,3,1,5,8,6,2.146982715,Sports,No,No,Computer Science Teacher
8,1,5,9,0,4,4,8,5,8,7,4,6,4,8,3.974984822,Gaming,Yes,No,DevOps Engineer
3,5,3,5,9,6,8,9,4,1,3,1,1,3,0,3.974984822,Traveling,Yes,No,Software Tester
5,4,2,1,2,5,6,0,2,1,9,8,0,3,2,2.973938266,Music,No,No,Network Administrator
0,8,9,6,0,7,6,0,8,6,1,6,3,5,0,3.974984822,Music,No,No,Data Scientist
7,6,5,1,0,8,8,6,1,9,2,2,1,5,4,4.356164715,Sports,No,No,Technical Support Engineer
2,8,6,3,3,7,1,2,2,2,8,0,0,5,5,2.973938266,Sports,No,No,Software Engineer
4,7,1,6,5,6,4,3,3,5,6,5,3,8,1,4.356164715,CodingOthers,Yes,Yes,Systems Analyst
0,7,5,8,4,2,6,3,5,0,4,4,8,8,0,2.146982715,Sports,No,Yes,Data Scientist
2,6,9,8,0,4,1,1,1,3,4,2,6,5,7,2.146982715,Traveling,Yes,Yes,Systems Analyst
2,8,9,7,6,5,2,6,4,4,7,7,3,8,9,3.974984822,Reading,No,No,Network Engineer
1,3,1,3,4,7,0,5,9,6,2,7,7,6,6,3.974984822,CodingOthers,Yes,No,Embedded Systems Engineer
7,0,4,7,7,1,9,9,0,6,9,8,0,6,0,3.974984822,CodingOthers,Yes,No,Computer Systems Analyst
7,3,5,0,7,2,3,8,5,5,3,0,6,5,9,2.146982715,Gaming,Yes,No,Digital Marketing Specialist
0,3,5,8,4,2,7,8,1,8,4,2,0,3,0,2.973938266,Reading,No,No,Machine Learning Engineer
1,6,6,1,8,7,5,8,7,1,2,3,4,9,3,2.146982715,Reading,Yes,Yes,IT Sales Professional
2,7,0,2,5,1,2,9,6,0,6,4,5,2,3,3.974984822,Reading,No,Yes,Computer and Information Systems Manager
8,9,7,3,2,5,1,4,7,6,9,2,8,4,3,2.146982715,Gaming,No,Yes,Machine Learning Engineer
5,9,4,3,2,4,6,9,4,9,5,6,1,2,8,3.974984822,Traveling,No,No,IT Consultant
2,3,0,8,8,3,1,3,5,4,6,8,2,4,6,2.146982715,Sports,Yes,No,Software Developer
9,9,3,0,9,5,5,4,9,0,4,4,8,4,7,3.974984822,Traveling,No,No,Data Scientist
4,8,1,4,3,0,5,9,7,7,3,4,7,1,8,3.974984822,Traveling,No,No,Artificial Intelligence Engineer
1,0,0,8,5,2,1,6,3,1,4,6,1,0,1,4.356164715,Gaming,Yes,No,Computer Systems Manager
8,3,4,9,4,7,8,8,0,3,6,7,2,1,4,3.974984822,CodingOthers,No,No,Database Administrator
5,8,2,4,4,0,0,8,5,0,0,6,6,0,7,2.973938266,Traveling,Yes,Yes,Business Intelligence Analyst
9,8,3,6,0,8,8,2,0,3,4,3,4,0,3,4.356164715,Reading,No,Yes,DevOps Engineer
0,2,6,2,9,8,0,4,0,4,5,1,7,4,4,2.973938266,Gaming,No,No,Computer Systems Analyst
2,5,9,9,0,3,2,4,3,7,2,9,7,1,5,4.356164715,Traveling,No,No,Software Engineer
2,9,1,3,0,6,4,7,6,7,9,8,7,6,1,2.146982715,Traveling,No,Yes,Embedded Systems Engineer
7,5,0,9,1,8,2,9,1,1,7,9,2,5,0,4.356164715,CodingOthers,No,No,Business Intelligence Analyst
7,7,3,8,6,0,6,7,1,5,0,7,8,9,0,2.146982715,Music,Yes,Yes,Software Engineer
8,1,6,7,4,1,4,0,1,4,8,5,3,3,4,2.146982715,Gaming,No,No,Computer Systems Analyst
1,4,9,0,3,2,4,3,5,3,7,9,4,6,8,2.973938266,Sports,No,No,Database Administrator
8,7,9,3,3,3,3,2,5,0,3,3,3,8,1,2.146982715,Music,No,No,IT Support Specialist
7,6,1,8,0,6,4,3,7,6,2,3,2,0,6,3.974984822,Sports,No,Yes,Quality Assurance Engineer
8,3,1,6,7,0,1,1,5,1,3,3,2,6,1,2.973938266,Traveling,Yes,No,Network Engineer
6,1,8,9,7,3,7,3,3,7,9,1,6,8,7,3.974984822,Music,No,No,Machine Learning Engineer
2,8,8,6,1,3,0,3,3,5,9,6,9,2,7,2.146982715,CodingOthers,No,Yes,Embedded Systems Engineer
2,4,6,5,7,4,6,2,8,9,8,5,2,8,4,4.356164715,Sports,Yes,Yes,Full Stack Developer
5,8,2,5,1,4,9,0,6,2,5,3,0,3,0,3.974984822,Sports,No,Yes,IT Support Specialist
0,9,3,0,2,7,0,3,0,0,1,3,3,7,3,4.356164715,CodingOthers,No,No,Front End Developer
5,5,0,8,8,0,6,8,0,1,7,8,4,1,8,2.146982715,CodingOthers,No,No,Software Developer
4,6,5,8,3,2,7,5,8,2,2,5,8,4,4,4.356164715,Music,Yes,Yes,Computer Systems Analyst
0,4,3,2,1,1,8,4,1,8,6,6,1,3,5,4.356164715,Sports,No,No,Mobile App Developer
2,5,5,5,7,8,1,1,3,6,6,9,3,3,7,3.974984822,Gaming,No,Yes,Mobile App Developer
6,8,3,1,9,1,2,2,5,9,7,5,1,8,3,3.974984822,CodingOthers,No,Yes,Machine Learning Engineer
8,2,8,6,3,5,3,7,8,7,7,8,1,3,0,2.146982715,Traveling,No,No,Technical Writer
4,7,4,3,8,0,5,2,4,2,1,8,1,4,1,3.974984822,Gaming,No,Yes,Computer Hardware Engineer
7,4,0,9,5,5,5,5,6,5,0,2,4,9,5,3.974984822,Gaming,No,Yes,Cloud Architect
2,6,4,0,4,9,3,0,6,9,3,8,2,7,2,3.974984822,CodingOthers,Yes,Yes,Data Scientist
8,2,1,3,2,3,4,7,9,2,8,8,2,4,1,2.973938266,Traveling,No,No,Blockchain Developer
0,8,1,1,3,7,1,3,5,8,4,0,5,1,0,2.146982715,Reading,Yes,No,Network Administrator
6,5,1,9,1,5,2,0,1,1,0,5,4,9,5,2.973938266,CodingOthers,No,No,Web Developer
2,3,8,3,6,0,2,4,7,4,5,8,2,9,9,3.974984822,Music,Yes,No,Software Developer
1,1,0,5,4,7,5,3,3,7,9,0,7,9,9,3.974984822,CodingOthers,Yes,Yes,UI/UX Designer
0,7,6,0,1,0,6,5,4,5,2,2,4,0,2,4.356164715,Music,No,No,Data Scientist
3,5,5,9,7,5,3,2,0,2,5,4,0,7,2,2.973938266,Sports,Yes,No,Computer and Information Systems Manager
5,7,3,0,1,1,1,9,1,1,8,4,6,3,7,3.974984822,Reading,No,No,Technical Writer
9,9,0,1,2,9,8,9,0,4,2,2,9,3,8,3.974984822,Music,Yes,Yes,Digital Marketing Specialist
6,0,0,7,6,1,7,3,2,1,2,1,0,3,2,2.973938266,CodingOthers,No,Yes,Web Developer
6,7,5,1,7,2,7,6,9,6,0,5,8,9,0,4.356164715,Sports,Yes,Yes,Computer Network Architect
6,4,4,3,8,6,3,5,7,4,6,9,3,3,7,2.973938266,Traveling,No,Yes,Technical Writer
9,1,0,6,6,7,4,3,3,2,6,0,7,3,9,2.973938266,Gaming,No,No,Computer and Information Research Scientist
3,0,1,8,9,2,5,3,1,1,1,9,1,6,9,3.974984822,Reading,No,Yes,IT Sales Professional
1,0,6,0,8,6,2,1,6,1,5,1,2,7,6,4.356164715,Traveling,No,Yes,Technical Writer
6,6,6,1,8,3,9,1,8,8,7,9,9,9,6,3.974984822,Gaming,Yes,Yes,Computer Programmer
7,6,7,2,4,9,4,9,4,6,0,9,4,8,4,3.974984822,CodingOthers,No,No,Front End Developer
0,0,3,0,1,6,7,1,3,3,6,4,7,2,4,2.146982715,Sports,Yes,No,Computer Hardware Engineer
9,0,4,6,3,2,8,5,8,8,4,0,9,7,3,2.146982715,Sports,Yes,Yes,Computer and Information Research Scientist
1,8,9,2,2,6,1,9,7,9,9,9,5,3,4,4.356164715,Music,No,Yes,Digital Marketing Specialist
5,3,9,0,3,4,6,9,3,6,1,5,8,6,7,4.356164715,Traveling,No,Yes,Systems Analyst
2,8,8,1,1,7,0,0,3,2,8,9,7,9,7,2.146982715,Sports,No,Yes,Computer and Information Research Scientist
1,7,1,9,0,5,5,1,5,1,9,9,1,1,8,4.356164715,Traveling,Yes,Yes,IT Sales Professional
7,8,6,7,9,7,3,4,6,4,4,7,0,6,7,4.356164715,Sports,No,No,Computer Hardware Engineer
6,3,1,5,5,6,6,9,2,3,9,5,3,1,6,3.974984822,Traveling,Yes,No,Front End Developer
9,3,0,0,8,2,2,3,9,0,6,0,4,6,1,2.146982715,Sports,No,Yes,Mobile App Developer
6,3,3,5,1,0,3,8,1,2,4,4,6,3,6,2.973938266,Traveling,No,Yes,Cloud Architect
0,9,8,8,0,0,1,5,5,4,5,3,8,9,4,2.146982715,Music,Yes,Yes,Full Stack Developer
5,4,2,3,3,6,7,3,8,4,1,5,5,8,1,3.974984822,Traveling,No,No,IT Sales Professional
7,2,0,7,5,2,2,6,0,8,2,0,0,0,0,2.146982715,CodingOthers,Yes,Yes,Systems Analyst
8,6,2,9,5,1,6,8,5,1,5,4,0,1,4,2.973938266,Reading,Yes,No,Data Scientist
0,8,4,3,7,6,6,3,2,9,0,7,7,8,7,3.974984822,Sports,Yes,Yes,Front End Developer
2,4,9,6,1,9,9,0,2,1,8,6,6,8,7,4.356164715,CodingOthers,No,Yes,Computer Science Teacher
6,3,1,2,4,1,2,1,6,4,1,2,7,5,1,3.974984822,Reading,No,No,Network Administrator
2,5,8,8,6,7,7,4,6,1,2,7,9,1,1,2.146982715,Music,No,No,Research Scientist
5,9,9,8,5,7,2,2,8,8,8,7,2,0,3,2.146982715,Reading,Yes,Yes,Computer Programmer
3,3,8,0,3,8,7,9,8,3,7,7,2,6,6,2.146982715,Traveling,Yes,No,Quality Assurance Engineer
4,4,1,1,3,7,9,0,6,9,9,1,9,1,8,2.973938266,Sports,Yes,Yes,Digital Marketing Specialist
6,7,0,6,4,2,9,1,8,8,9,6,6,9,8,2.146982715,Music,Yes,No,Computer Systems Manager
7,9,3,6,7,1,4,0,8,5,1,6,2,1,5,2.973938266,Traveling,Yes,Yes,IT Project Manager
6,7,5,3,3,7,3,4,7,4,3,4,3,3,3,4.356164715,Gaming,Yes,Yes,UI/UX Designer
2,6,9,2,7,9,3,1,6,5,2,3,2,8,2,2.973938266,Reading,Yes,Yes,Web Developer
8,6,8,1,2,7,1,3,8,9,7,4,7,5,2,2.146982715,Gaming,No,Yes,Data Scientist
8,2,9,8,7,8,8,2,0,8,6,2,2,1,0,2.146982715,CodingOthers,Yes,Yes,Technical Support Engineer
9,1,0,5,9,4,2,2,0,6,6,4,6,8,5,2.146982715,CodingOthers,Yes,No,Database Administrator
3,5,2,1,2,3,5,0,0,7,3,4,5,8,9,4.356164715,Sports,Yes,Yes,Software Tester
3,1,6,9,8,3,0,5,5,9,5,8,7,0,7,3.974984822,Gaming,Yes,No,Computer Systems Manager
5,6,5,9,2,1,6,4,7,0,7,2,7,8,5,2.973938266,Traveling,No,Yes,Artificial Intelligence Engineer
5,9,4,2,5,9,6,4,4,7,2,9,5,0,0,4.356164715,Gaming,Yes,No,Cloud Architect
1,6,7,3,4,0,9,3,9,3,1,4,7,8,5,2.973938266,CodingOthers,Yes,Yes,Network Engineer
3,4,1,8,7,1,4,4,8,6,3,6,2,8,6,3.974984822,Traveling,Yes,No,Embedded Systems Engineer
6,9,2,4,6,4,0,4,0,0,3,5,2,6,4,3.974984822,CodingOthers,Yes,No,Technical Support Engineer
4,8,6,9,4,0,0,9,4,6,6,6,0,6,6,2.973938266,Sports,No,Yes,Business Intelligence Analyst
6,4,6,2,4,3,8,6,1,0,8,3,1,2,7,2.146982715,Sports,No,Yes,Computer and Information Systems Manager
1,3,1,8,5,3,2,0,6,0,4,1,6,7,5,3.974984822,Sports,No,No,Technical Writer
2,7,7,0,7,6,6,7,6,8,4,5,7,0,0,4.356164715,CodingOthers,Yes,No,Software Developer
1,3,4,4,2,7,3,4,6,9,6,3,2,2,6,2.973938266,Reading,No,Yes,Computer and Information Research Scientist
6,6,2,9,4,7,3,9,4,2,1,1,7,6,3,4.356164715,Reading,Yes,Yes,Mobile App Developer
4,1,1,6,3,3,2,4,4,5,7,4,7,3,2,2.146982715,Sports,No,Yes,Software Tester
5,4,8,5,7,2,6,1,7,6,7,1,9,1,1,2.973938266,Traveling,No,No,Game Developer
8,0,3,2,1,6,3,8,6,8,9,4,4,3,0,3.974984822,Sports,Yes,No,Research Scientist
9,1,4,0,9,4,0,1,8,3,4,3,3,0,8,3.974984822,Sports,Yes,No,Systems Analyst
1,2,7,8,5,8,6,8,2,0,2,4,7,8,9,2.973938266,Traveling,Yes,Yes,Back End Developer
7,1,8,1,2,4,4,5,1,3,2,8,2,7,2,4.356164715,Sports,Yes,Yes,Cloud Architect
4,9,2,6,3,4,4,6,8,7,8,1,5,6,6,2.146982715,Gaming,No,No,Computer Systems Analyst
4,5,4,5,8,3,0,9,5,3,1,0,7,3,0,3.974984822,Gaming,No,No,Back End Developer
7,4,0,2,7,5,8,9,6,1,4,7,7,6,7,2.973938266,Traveling,No,No,DevOps Engineer
5,5,8,6,1,7,6,4,9,9,1,9,3,1,2,2.973938266,Reading,No,Yes,Computer and Information Research Scientist
6,5,6,2,8,6,8,2,5,0,3,5,2,8,0,4.356164715,Music,Yes,No,Computer and Information Systems Manager
8,6,8,6,7,0,7,7,2,2,7,3,1,8,9,2.146982715,Gaming,Yes,Yes,Network Engineer
9,2,7,9,9,5,5,0,8,2,4,5,6,7,3,4.356164715,Sports,No,Yes,Back End Developer
2,7,5,5,7,6,2,9,7,6,9,2,0,9,6,3.974984822,Music,No,Yes,Computer Network Architect
3,1,7,5,3,5,6,1,6,9,8,8,6,1,7,4.356164715,Gaming,Yes,Yes,Computer and Information Systems Manager
5,1,3,9,1,0,9,7,4,9,9,4,7,3,5,4.356164715,Music,Yes,No,Network Engineer
3,5,6,6,5,6,0,9,5,6,1,7,0,6,6,3.974984822,Gaming,Yes,No,Cybersecurity Analyst
3,5,9,9,9,6,8,3,2,7,8,3,7,4,9,2.973938266,CodingOthers,No,No,Game Developer
5,5,2,1,3,9,4,6,9,6,9,0,3,6,8,2.973938266,Gaming,No,No,Cloud Architect
8,6,4,6,0,9,1,5,8,2,0,4,6,2,7,2.973938266,Sports,Yes,No,Blockchain Developer
9,2,0,5,3,0,5,4,0,4,2,1,9,6,0,3.974984822,Sports,Yes,Yes,Software Developer
6,5,2,6,0,5,3,2,9,3,9,0,7,7,9,4.356164715,Traveling,No,No,Systems Analyst
8,3,4,3,5,9,4,1,4,1,8,4,3,9,5,4.356164715,Reading,Yes,Yes,Network Engineer
0,6,6,7,9,8,9,5,9,0,4,1,5,5,3,3.974984822,Gaming,Yes,Yes,Systems Analyst
4,9,5,5,3,0,6,5,0,7,1,2,0,5,3,4.356164715,Music,No,No,Front End Developer
4,5,8,6,9,9,7,2,3,8,7,0,4,2,3,2.146982715,Gaming,Yes,Yes,IT Support Specialist
9,1,3,5,7,4,3,6,2,3,1,2,3,5,4,2.146982715,Sports,Yes,Yes,Computer Systems Manager
0,9,9,0,1,2,7,1,3,4,2,6,2,1,9,3.974984822,CodingOthers,Yes,Yes,Business Intelligence Analyst
5,8,7,5,2,0,6,3,8,9,5,6,6,5,5,3.974984822,Music,Yes,No,Front End Developer
7,5,2,7,8,1,7,5,6,0,5,8,3,9,9,2.146982715,Reading,Yes,Yes,Artificial Intelligence Engineer
0,5,0,5,9,4,3,7,4,0,5,5,3,0,8,2.146982715,CodingOthers,No,Yes,IT Consultant
2,0,7,7,5,7,5,0,7,0,9,2,9,7,3,4.356164715,Traveling,No,No,Blockchain Developer
2,2,5,3,9,7,4,2,4,9,8,1,8,9,8,4.356164715,CodingOthers,Yes,No,Back End Developer
3,1,0,5,9,6,3,8,6,1,9,0,2,4,1,4.356164715,Gaming,No,No,DevOps Engineer
8,2,3,9,6,2,6,3,4,2,6,5,8,7,3,3.974984822,CodingOthers,Yes,Yes,Full Stack Developer
2,9,9,1,2,0,7,9,7,8,1,5,4,5,1,2.973938266,Music,Yes,No,Systems Analyst
0,7,2,8,0,0,3,4,3,5,4,0,5,8,5,2.146982715,Gaming,No,Yes,Technical Support Engineer
6,1,6,6,9,0,1,9,7,8,0,1,8,0,8,3.974984822,Music,No,Yes,Blockchain Developer
7,9,4,7,1,3,3,0,6,6,6,8,5,0,3,4.356164715,Gaming,Yes,Yes,IT Sales Professional
5,8,1,3,5,2,9,6,7,1,3,5,8,9,2,3.974984822,CodingOthers,No,Yes,Cybersecurity Analyst
2,3,0,3,6,9,3,4,7,1,8,1,2,0,9,3.974984822,Music,No,No,Computer Hardware Engineer
4,2,0,2,5,4,6,0,9,7,2,9,8,7,6,2.146982715,Reading,No,Yes,Computer Science Teacher
2,1,8,3,9,0,6,3,3,4,2,9,6,4,2,4.356164715,CodingOthers,Yes,Yes,Quality Assurance Engineer
5,7,5,6,1,6,6,2,0,9,3,4,6,4,4,2.973938266,Reading,No,Yes,IT Consultant
8,2,3,5,7,1,8,3,3,5,2,8,9,5,6,3.974984822,Gaming,No,Yes,Mobile App Developer
6,7,2,1,6,3,6,9,0,3,4,6,2,2,4,2.146982715,Sports,No,Yes,Back End Developer
